"id","civilite","prenom","nom","naissance","profession","groupe","ncirco","circo","debut","duree","age","premiereElection"
"334951","M.","Jean-Michel","Villaumé","-750042000","Retraité de l'enseignement","SRC","2","Haute-Saône","1182290400","4.39614432023","64","2007"
"335017","M.","Christophe","Sirugue","-106794000","Cadre supérieur (secteur privé)","SRC","5","Saône-et-Loire","1182290400","4.39614432023","44","2007"
"335040","Mme","Fabienne","Labrette-Ménager","-283395600","Administrateur de sociétés","UMP","1","Sarthe","1182290400","4.39614432023","49","2007"
"335054","Mme","Marietta","Karamanli","-158979600","Professeur du secondaire et techn.","SRC","2","Sarthe","1182290400","4.39614432023","47","2007"
"335159","M.","Lionel","Tardy","-112669200","Gérant d'entreprise","UMP","2","Haute-Savoie","1182290400","4.39614432023","44","2007"
"335319","Mme","Sandrine","Mazetier","-96080400","Cadre supérieur (secteur privé)","SRC","8","Paris","1182290400","4.39614432023","45","2007"
"335532","Mme","George","Pau-Langevin","-669085200","Avocate","SRC","21","Paris","1182290400","4.39614432023","62","2007"
"335543","Mme","Valérie","Fourneyron","-323312400","Médecin du sport","SRC","1","Seine-Maritime","1182290400","4.39614432023","51","2007"
"335567","Mme","Françoise","Guégot","-233283600","Maître de conférence associée","UMP","2","Seine-Maritime","1182290400","4.39614432023","48","2007"
"335612","M.","Jean-Paul","Lecoq","-354070800","Fonctionnaire de catégorie B","GDR","6","Seine-Maritime","1182290400","4.39614432023","52","2007"
"335758","M.","Franck","Riester","126399600","Chef d'entreprise","UMP","5","Seine-et-Marne","1182290400","4.39614432023","36","2007"
"335999","Mme","Delphine","Batho","101689200","Cadre territorial","SRC","2","Deux-Sèvres","1182290400","4.39614432023","37","2007"
"336015","M.","Jean","Grellier","-714099600","Retraité salarié privé, dirigeant d'entreprise (SCOP)","SRC","4","Deux-Sèvres","1182290400","4.39614432023","63","2007"
"336067","M.","Gilbert","Mathon","-904269600","Retraité de l'enseignement","SRC","4","Somme","1182290400","4.39614432023","69","2007"
"336112","M.","Jacques","Valax","-579402000","Avocat","SRC","1","Tarn","1182290400","4.39614432023","59","2007"
"336175","Mme","Sylvia","Pinel","244249200","Collaborateur de cabinet","SRC","2","Tarn-et-Garonne","1182290400","4.39614432023","33","2007"
"336316","M.","Jean-Claude","Bouchet","-399776400","Gérant de société","UMP","2","Vaucluse","1182290400","4.39614432023","53","2007"
"336421","Mme","Catherine","Coutelle","-781059600","Retraitée de l'enseignement","SRC","2","Vienne","1182290400","4.39614432023","65","2007"
"336439","M.","Jean-Michel","Clément","-478746000","Avocat","SRC","3","Vienne","1182290400","4.39614432023","56","2007"
"336454","Mme","Monique","Boulestin","-593485200","Professeur de lettres en détachement","SRC","1","Haute-Vienne","1182290400","4.39614432023","59","2007"
"336576","Mme","Marie-Louise","Fort","-602125200",,"UMP","3","Yonne","1182290400","4.39614432023","61","2007"
"336898","Mme","Marie-Hélène","Amiable","-309315600","Enseignante","GDR","11","Hauts-de-Seine","1182290400","4.39614432023","50","2007"
"336971","M.","Daniel","Goldberg","-137466000","Maître de conférences","SRC","3","Seine-Saint-Denis","1182290400","4.39614432023","45","2007"
"337084","M.","Gérard","Gaudron","-650163600","Géologue","UMP","10","Seine-Saint-Denis","1182290400","4.39614432023","61","2007"
"337171","M.","Didier","Gonzales","-293418000","Fonctionnaire","UMP","3","Val-de-Marne","1182290400","4.39614432023","50","2007"
"337248","M.","Pierre","Gosnat","-674269200","Fonctionnaire","GDR","10","Val-de-Marne","1182290400","4.39614432023","62","2007"
"337332","M.","Claude","Bodin","-556419600","Attaché d'administration hospitalière","UMP","4","Val-d'Oise","1182290400","4.39614432023","58","2007"
"337421","M.","Yanick","Paternotte","-568774800","Docteur en pharmacie","UMP","9","Val-d'Oise","1182290400","4.39614432023","60","2007"
"337442","Mme","Jeanny","Marc","-602211600","Retraité de l'enseignement","SRC","3","Guadeloupe","1182290400","4.39614432023","61","2007"
"337483","M.","Serge","Letchimy","-535424400","Urbaniste","SRC","3","Martinique","1182290400","4.39614432023","57","2007"
"337504","Mme","Chantal","Berthelot","-356749200","Agricultrice","SRC","2","Guyane","1182290400","4.39614432023","52","2007"
"337550","M.","Patrick","Lebreton","-199501200","Fonctionnaire de catégorie B","SRC","4","Réunion","1182290400","4.39614432023","47","2007"
"337568","M.","Jean-Claude","Fruteau","-712371600","Retraité de l'enseignement","SRC","5","Réunion","1182290400","4.39614432023","63","2007"
"337586","M.","Abdoulatifou","Aly","-306810000","Avocat","NI","1","Mayotte","1182290400","4.39614432023","50","2007"
"337621","M.","Bruno","Sandras","-265424400","Permanent politique","UMP","2","Polynésie Française","1182290400","4.39614432023","49","2007"
"337633","Mme","Annick","Girardin","-170816400","Fonctionnaire de catégorie A","SRC","1","Saint-Pierre-et-Miquelon","1182290400","4.39614432023","46","2007"
"337635","M.","Apeleto","Albert Likuvalu","-824691600","Retraité de l'enseignement","SRC","1","Wallis-et-Futuna","1182290400","4.39614432023","68","2007"
"339","M.","Dominique","Baert","-321584400","Directeur à la Banque de France","SRC","8","Nord","1182290400","9.44200332091","51","1997"
"341","M.","Pierre-Christophe","Baguet","-462157200","Conseiller en communication","UMP","9","Hauts-de-Seine","1182290400","14.4413188582","55","1997"
"341339","Mme","Colette","Langlade","-427078800","Professeur","SRC","3","Dordogne","1204844400","3.68145118767","54","2008"
"341466","Mme","Marie-Hélène","Thoraval","-113014800","Responsable marketing","UMP","4","Drôme","1293577200","0.869678429285","44","2010"
"341481","M.","Guy","Lefrand","-214966800","Médecin","UMP","1","Eure","1231801200","2.82724174208","47","2009"
"342415","Mme","Marie-Noëlle","Battistel","-421808400",,"SRC","4","Isère","1275861600","1.43105191776","54","2010"
"342601","M.","Pascal","Brindeau","140914800","Juriste","NC","3","Loir-et-Cher","1292367600","0.908008340305","36","2010"
"342935","Mme","Marianne","Dubois","-379990800",,"UMP","5","Loiret","1257289200","2.01957575988","54","2009"
"343034","M.","Paul","Jeanneteau","-385520400","Pharmacien d'officine","UMP","1","Maine-et-Loire","1184882400","4.31400879661","53","2007"
"343385","M.","Philippe","Morenvillier","-128480400","Chef d'entreprise","UMP","5","Meurthe-et-Moselle","1208642400","3.56109983015","46","2008"
"343493","M.","Gwendal","Rouillard","198799200",,"SRC","5","Morbihan","1304546400","0.522085456435","34","2011"
"343623","Mme","Anne","Grommerch","29718000","Directrice des ventes","UMP","9","Moselle","1226876400","2.98329923695","41","2008"
"343908","Mme","Marie-Claude","Marchand","-487472400",,"SRC","19","Nord","1304373600","0.527561158009","56","2011"
"344072","Mme","Dominique","Le Sourd ","-603680400",,"UMP","7","Oise","1319752800","0.0402237179","61","2011"
"344492","M.","Fernand","Siré","-781232400","Médecin retraité","UMP","2","Pyrénées-Orientales","1270072800","1.6144879205","65","2010"
"344878","M.","Raymond","Durand","-765334800","Retraité","NC","11","Rhône","1212357600","3.44337224631","65","2008"
"345264","Mme","Edwige","Antier","-872042400","Pédiatre","UMP","4","Paris","1248300000","2.30442631886","68","2009"
"345897","M.","Arnaud","Richard","41814000","Responsable de relations institutionnelles","UMP","7","Yvelines","1275688800","1.43652761934","39","2010"
"345898","Mme","Cécile","Dumoulin","-99190800","Vétérinaire","UMP","8","Yvelines","1239919200","2.56999784521","45","2009"
"346","M.","Patrick","Balkany","-674614800","Directeur de société","UMP","5","Hauts-de-Seine","1182290400","18.2469314523","62","1988"
"346652","M.","Guy","Malherbe","-748918800","Administrateur civil hors classe","UMP","4","Essonne","1184882400","4.31400879661","64","2007"
"346692","Mme","Françoise","Briand","-590202000","Ingénieur de recherche","UMP","7","Essonne","1221775200","3.14494651051","59","2008"
"346839","M.","Eric","Berdoati","-178246800","Gérant d'une SARL","UMP","7","Hauts-de-Seine","1292367600","0.908008340305","46","2010"
"350","M.","Jean-Pierre","Balligand","-618282000","Assistant parlementaire","SRC","3","Aisne","1182290400","30.1565823764","60","1981"
"356","M.","Gérard","Bapt","-754448400","Médecin cardiologue","SRC","2","Haute-Garonne","1182290400","29.0120466702","64","1978"
"362","M.","Jean","Bardet","-900295200","Professeur de médecine","UMP","3","Val-d'Oise","1182290400","20.114031612","69","1986"
"381","M.","Claude","Bartolone","-581562000","Cadre de l'industrie pharmaceutique","SRC","6","Seine-Saint-Denis","1182290400","26.0224276878","59","1981"
